DN,Y
185,43.9157568717
186,43.9257568717
187,43.9357568717
188,43.9457568717
189,43.6257568717
190,43.6357568717
191,43.6457568717
192,43.6557568717
193,43.6657568717
194,43.6757568717
195,43.6857568717
196,43.6957568717
197,43.7057568717
198,43.7157568717
199,43.7257568717
200,43.7357568717
201,43.7457568717
202,43.7557568717
203,43.7657568717
204,43.7757568717
205,43.7857568717
206,43.7957568717
207,43.8057568717
208,43.8157568717
209,43.8257568717
210,43.8357568717
211,43.8457568717
212,43.8557568717
213,43.8657568717
214,43.8757568717
215,43.8857568717
216,43.8957568717
217,43.9057568717
218,43.9157568717
219,43.9257568717
220,43.9357568717
221,43.9457568717
222,43.9557568717
223,43.6057568717
224,43.6157568717
225,43.6257568717
226,43.6357568717
227,43.6457568717
228,43.6557568717
229,43.6657568717
230,43.6757568717
231,43.6857568717
232,43.6957568717
233,43.7057568717
234,43.7157568717
235,43.7257568717
236,43.7357568717
237,43.7457568717
238,43.7557568717
239,43.7657568717
240,43.7757568717
241,43.7857568717
242,43.7957568717
243,43.8057568717
244,43.8157568717
245,43.8257568717
246,43.8357568717
247,43.8457568717
248,43.8557568717
249,43.8657568717
250,43.8757568717
251,43.8857568717
252,43.8957568717
253,43.9057568717
254,43.9157568717
255,43.9257568717
256,43.9357568717
257,43.9457568717
258,43.9557568717
259,43.5957568717
260,43.6057568717
261,43.6157568717
262,43.6257568717
263,43.6357568717
264,43.6457568717
265,43.6557568717
266,43.6657568717
267,43.6757568717
268,43.6857568717
269,43.6957568717
270,43.7057568717
271,43.7157568717
272,43.7257568717
273,43.7357568717
274,43.7457568717
275,43.7557568717
276,43.7657568717
277,43.7757568717
278,43.7857568717
279,43.7957568717
280,43.8057568717
281,43.8157568717
282,43.8257568717
283,43.8357568717
284,43.8457568717
285,43.8557568717
286,43.8657568717
287,43.8757568717
288,43.8857568717
289,43.8957568717
290,43.9057568717
291,43.9157568717
292,43.9257568717
293,43.9357568717
294,43.9457568717
295,43.9557568717
296,43.9657568717
297,43.5757568717
298,43.5857568717
299,43.5957568717
300,43.6057568717
301,43.6157568717
302,43.6257568717
303,43.6357568717
304,43.6457568717
305,43.6557568717
306,43.6657568717
307,43.6757568717
308,43.6857568717
309,43.6957568717
310,43.7057568717
311,43.7157568717
312,43.7257568717
313,43.7357568717
314,43.7457568717
315,43.7557568717
316,43.7657568717
317,43.7757568717
318,43.7857568717
319,43.7957568717
320,43.8057568717
321,43.8157568717
322,43.8257568717
323,43.8357568717
324,43.8457568717
325,43.8557568717
326,43.8657568717
327,43.8757568717
328,43.8857568717
329,43.8957568717
330,43.9057568717
331,43.9157568717
332,43.9257568717
333,43.9357568717
334,43.9457568717
335,43.9557568717
336,43.9657568717
337,43.9757568717
338,43.5557568717
339,43.5657568717
340,43.5757568717
341,43.5857568717
342,43.5957568717
343,43.6057568717
344,43.6157568717
345,43.6257568717
346,43.6357568717
347,43.6457568717
348,43.6557568717
349,43.6657568717
350,43.6757568717
351,43.6857568717
352,43.6957568717
353,43.7057568717
354,43.7157568717
355,43.7257568717
356,43.7357568717
357,43.7457568717
358,43.7557568717
359,43.7657568717
360,43.7757568717
361,43.7857568717
362,43.7957568717
363,43.8057568717
364,43.8157568717
365,43.8257568717
366,43.8357568717
367,43.8457568717
368,43.8557568717
369,43.8657568717
370,43.8757568717
371,43.8857568717
372,43.8957568717
373,43.9057568717
374,43.9157568717
375,43.9257568717
376,43.9357568717
377,43.9457568717
378,43.9557568717
379,43.9657568717
380,43.9757568717
381,43.9857568717
382,43.5357568717
383,43.5457568717
384,43.5557568717
385,43.5657568717
386,43.5757568717
387,43.5857568717
388,43.5957568717
389,43.6057568717
390,43.6157568717
391,43.6257568717
392,43.6357568717
393,43.6457568717
394,43.6557568717
395,43.6657568717
396,43.6757568717
397,43.6857568717
398,43.6957568717
399,43.7057568717
400,43.7157568717
401,43.7257568717
402,43.7357568717
403,43.7457568717
404,43.7557568717
405,43.7657568717
406,43.7757568717
407,43.7857568717
408,43.7957568717
409,43.8057568717
410,43.8157568717
411,43.8257568717
412,43.8357568717
413,43.8457568717
414,43.8557568717
415,43.8657568717
416,43.8757568717
417,43.8857568717
418,43.8957568717
419,43.9057568717
420,43.9157568717
421,43.9257568717
422,43.9357568717
423,43.9457568717
424,43.9557568717
425,43.9657568717
426,43.9757568717
427,43.9857568717
428,43.9957568717
429,43.5257568717
430,43.5357568717
431,43.5457568717
432,43.5557568717
433,43.5657568717
434,43.5757568717
435,43.5857568717
436,43.5957568717
437,43.6057568717
438,43.6157568717
439,43.6257568717
440,43.6357568717
441,43.6457568717
442,43.6557568717
443,43.6657568717
444,43.6757568717
445,43.6857568717
446,43.6957568717
447,43.7057568717
448,43.7157568717
449,43.7257568717
450,43.7357568717
451,43.7457568717
452,43.7557568717
453,43.7657568717
454,43.7757568717
455,43.7857568717
456,43.7957568717
457,43.8057568717
458,43.8157568717
459,43.8257568717
460,43.8357568717
461,43.8457568717
462,43.8557568717
463,43.8657568717
464,43.8757568717
465,43.8857568717
466,43.8957568717
467,43.9057568717
468,43.9157568717
469,43.9257568717
470,43.9357568717
471,43.9457568717
472,43.9557568717
473,43.9657568717
474,43.9757568717
475,43.9857568717
476,43.9957568717
477,44.0057568717
478,43.5257568717
479,43.5357568717
480,43.5457568717
481,43.5557568717
482,43.5657568717
483,43.5757568717
484,43.5857568717
485,43.5957568717
486,43.6057568717
487,43.6157568717
488,43.6257568717
489,43.6357568717
490,43.6457568717
491,43.6557568717
492,43.6657568717
493,43.6757568717
494,43.6857568717
495,43.6957568717
496,43.7057568717
497,43.7157568717
498,43.7257568717
499,43.7357568717
500,43.7457568717
501,43.7557568717
502,43.7657568717
503,43.7757568717
504,43.7857568717
505,43.7957568717
506,43.8057568717
507,43.8157568717
508,43.8257568717
509,43.8357568717
510,43.8457568717
511,43.8557568717
512,43.8657568717
513,43.8757568717
514,43.8857568717
515,43.8957568717
516,43.9057568717
517,43.9157568717
518,43.9257568717
519,43.9357568717
520,43.9457568717
521,43.9557568717
522,43.9657568717
523,43.9757568717
524,43.9857568717
525,43.9957568717
526,44.0057568717
527,44.0157568717
528,43.5257568717
529,43.5357568717
530,43.5457568717
531,43.5557568717
532,43.5657568717
533,43.5757568717
534,43.5857568717
535,43.5957568717
536,43.6057568717
537,43.6157568717
538,43.6257568717
539,43.6357568717
540,43.6457568717
541,43.6557568717
542,43.6657568717
543,43.6757568717
544,43.6857568717
545,43.6957568717
546,43.7057568717
547,43.7157568717
548,43.7257568717
549,43.7357568717
550,43.7457568717
551,43.7557568717
552,43.7657568717
553,43.7757568717
554,43.7857568717
555,43.7957568717
556,43.8057568717
557,43.8157568717
558,43.8257568717
559,43.8357568717
560,43.8457568717
561,43.8557568717
562,43.8657568717
563,43.8757568717
564,43.8857568717
565,43.8957568717
566,43.9057568717
567,43.9157568717
568,43.9257568717
569,43.9357568717
570,43.9457568717
571,43.9557568717
572,43.9657568717
573,43.9757568717
574,43.9857568717
575,43.9957568717
576,44.0057568717
577,44.0157568717
578,43.5257568717
579,43.5357568717
580,43.5457568717
581,43.5557568717
582,43.5657568717
583,43.5757568717
584,43.5857568717
585,43.5957568717
586,43.6057568717
587,43.6157568717
588,43.6257568717
589,43.6357568717
590,43.6457568717
591,43.6557568717
592,43.6657568717
593,43.6757568717
594,43.6857568717
595,43.6957568717
596,43.7057568717
597,43.7157568717
598,43.7257568717
599,43.7357568717
600,43.7457568717
601,43.7557568717
602,43.7657568717
603,43.7757568717
604,43.7857568717
605,43.7957568717
606,43.8057568717
607,43.8157568717
608,43.8257568717
609,43.8357568717
610,43.8457568717
611,43.8557568717
612,43.8657568717
613,43.8757568717
614,43.8857568717
615,43.8957568717
616,43.9057568717
617,43.9157568717
618,43.9257568717
619,43.9357568717
620,43.9457568717
621,43.9557568717
622,43.9657568717
623,43.9757568717
624,43.9857568717
625,43.9957568717
626,44.0057568717
627,44.0157568717
628,44.0257568717
629,43.5257568717
630,43.5357568717
631,43.5457568717
632,43.5557568717
633,43.5657568717
634,43.5757568717
635,43.5857568717
636,43.5957568717
637,43.6057568717
638,43.6157568717
639,43.6257568717
640,43.6357568717
641,43.6457568717
642,43.6557568717
643,43.6657568717
644,43.6757568717
645,43.6857568717
646,43.6957568717
647,43.7057568717
648,43.7157568717
649,43.7257568717
650,43.7357568717
651,43.7457568717
652,43.7557568717
653,43.7657568717
654,43.7757568717
655,43.7857568717
656,43.7957568717
657,43.8057568717
658,43.8157568717
659,43.8257568717
660,43.8357568717
661,43.8457568717
662,43.8557568717
663,43.8657568717
664,43.8757568717
665,43.8857568717
666,43.8957568717
667,43.9057568717
668,43.9157568717
669,43.9257568717
670,43.9357568717
671,43.9457568717
672,43.9557568717
673,43.9657568717
674,43.9757568717
675,43.9857568717
676,43.9957568717
677,44.0057568717
678,44.0157568717
679,44.0257568717
680,44.0357568717
681,43.5257568717
682,43.5357568717
683,43.5457568717
684,43.5557568717
685,43.5657568717
686,43.5757568717
687,43.5857568717
688,43.5957568717
689,43.6057568717
690,43.6157568717
691,43.6257568717
692,43.6357568717
693,43.6457568717
694,43.6557568717
695,43.6657568717
696,43.6757568717
697,43.6857568717
698,43.6957568717
699,43.7057568717
700,43.7157568717
701,43.7257568717
702,43.7357568717
703,43.7457568717
704,43.7557568717
705,43.7657568717
706,43.7757568717
707,43.7857568717
708,43.7957568717
709,43.8057568717
710,43.8157568717
711,43.8257568717
712,43.8357568717
713,43.8457568717
714,43.8557568717
715,43.8657568717
716,43.8757568717
717,43.8857568717
718,43.8957568717
719,43.9057568717
720,43.9157568717
721,43.9257568717
722,43.9357568717
723,43.9457568717
724,43.9557568717
725,43.9657568717
726,43.9757568717
727,43.9857568717
728,43.9957568717
729,44.0057568717
730,44.0157568717
731,44.0257568717
732,44.0357568717
733,43.5257568717
734,43.5357568717
735,43.5457568717
736,43.5557568717
737,43.5657568717
738,43.5757568717
739,43.5857568717
740,43.5957568717
741,43.6057568717
742,43.6157568717
743,43.6257568717
744,43.6357568717
745,43.6457568717
746,43.6557568717
747,43.6657568717
748,43.6757568717
749,43.6857568717
750,43.6957568717
751,43.7057568717
752,43.7157568717
753,43.7257568717
754,43.7357568717
755,43.7457568717
756,43.7557568717
757,43.7657568717
758,43.7757568717
759,43.7857568717
760,43.7957568717
761,43.8057568717
762,43.8157568717
763,43.8257568717
764,43.8357568717
765,43.8457568717
766,43.8557568717
767,43.8657568717
768,43.8757568717
769,43.8857568717
770,43.8957568717
771,43.9057568717
772,43.9157568717
773,43.9257568717
774,43.9357568717
775,43.9457568717
776,43.9557568717
777,43.9657568717
778,43.9757568717
779,43.9857568717
780,43.9957568717
781,44.0057568717
782,44.0157568717
783,44.0257568717
784,44.0357568717
785,43.5257568717
786,43.5357568717
787,43.5457568717
788,43.5557568717
789,43.5657568717
790,43.5757568717
791,43.5857568717
792,43.5957568717
793,43.6057568717
794,43.6157568717
795,43.6257568717
796,43.6357568717
797,43.6457568717
798,43.6557568717
799,43.6657568717
800,43.6757568717
801,43.6857568717
802,43.6957568717
803,43.7057568717
804,43.7157568717
805,43.7257568717
806,43.7357568717
807,43.7457568717
808,43.7557568717
809,43.7657568717
810,43.7757568717
811,43.7857568717
812,43.7957568717
813,43.8057568717
814,43.8157568717
815,43.8257568717
816,43.8357568717
817,43.8457568717
818,43.8557568717
819,43.8657568717
820,43.8757568717
821,43.8857568717
822,43.8957568717
823,43.9057568717
824,43.9157568717
825,43.9257568717
826,43.9357568717
827,43.9457568717
828,43.9557568717
829,43.9657568717
830,43.9757568717
831,43.9857568717
832,43.9957568717
833,44.0057568717
834,44.0157568717
835,44.0257568717
836,44.0357568717
837,43.5257568717
838,43.5357568717
839,43.5457568717
840,43.5557568717
841,43.5657568717
842,43.5757568717
843,43.5857568717
844,43.5957568717
845,43.6057568717
846,43.6157568717
847,43.6257568717
848,43.6357568717
849,43.6457568717
850,43.6557568717
851,43.6657568717
852,43.6757568717
853,43.6857568717
854,43.6957568717
855,43.7057568717
856,43.7157568717
857,43.7257568717
858,43.7357568717
859,43.7457568717
860,43.7557568717
861,43.7657568717
862,43.7757568717
863,43.7857568717
864,43.7957568717
865,43.8057568717
866,43.8157568717
867,43.8257568717
868,43.8357568717
869,43.8457568717
870,43.8557568717
871,43.8657568717
872,43.8757568717
873,43.8857568717
874,43.8957568717
875,43.9057568717
876,43.9157568717
877,43.9257568717
878,43.9357568717
879,43.9457568717
880,43.9557568717
881,43.9657568717
882,43.9757568717
883,43.9857568717
884,43.9957568717
885,44.0057568717
886,44.0157568717
887,44.0257568717
888,44.0357568717
889,43.5257568717
890,43.5357568717
891,43.5457568717
892,43.5557568717
893,43.5657568717
894,43.5757568717
895,43.5857568717
896,43.5957568717
897,43.6057568717
898,43.6157568717
899,43.6257568717
900,43.6357568717
901,43.6457568717
902,43.6557568717
903,43.6657568717
904,43.6757568717
905,43.6857568717
906,43.6957568717
907,43.7057568717
908,43.7157568717
909,43.7257568717
910,43.7357568717
911,43.7457568717
912,43.7557568717
913,43.7657568717
914,43.7757568717
915,43.7857568717
916,43.7957568717
917,43.8057568717
918,43.8157568717
919,43.8257568717
920,43.8357568717
921,43.8457568717
922,43.8557568717
923,43.8657568717
924,43.8757568717
925,43.8857568717
926,43.8957568717
927,43.9057568717
928,43.9157568717
929,43.9257568717
930,43.9357568717
931,43.9457568717
932,43.9557568717
933,43.9657568717
934,43.9757568717
935,43.9857568717
936,43.9957568717
937,44.0057568717
938,44.0157568717
939,44.0257568717
940,44.0357568717
941,43.5257568717
942,43.5357568717
943,43.5457568717
944,43.5557568717
945,43.5657568717
946,43.5757568717
947,43.5857568717
948,43.5957568717
949,43.6057568717
950,43.6157568717
951,43.6257568717
952,43.6357568717
953,43.6457568717
954,43.6557568717
955,43.6657568717
956,43.6757568717
957,43.6857568717
958,43.6957568717
959,43.7057568717
960,43.7157568717
961,43.7257568717
962,43.7357568717
963,43.7457568717
964,43.7557568717
965,43.7657568717
966,43.7757568717
967,43.7857568717
968,43.7957568717
969,43.8057568717
970,43.8157568717
971,43.8257568717
972,43.8357568717
973,43.8457568717
974,43.8557568717
975,43.8657568717
976,43.8757568717
977,43.8857568717
978,43.8957568717
979,43.9057568717
980,43.9157568717
981,43.9257568717
982,43.9357568717
983,43.9457568717
984,43.9557568717
985,43.9657568717
986,43.9757568717
987,43.9857568717
988,43.9957568717
989,44.0057568717
990,44.0157568717
991,44.0257568717
992,44.0357568717
993,43.5257568717
994,43.5357568717
995,43.5457568717
996,43.5557568717
997,43.5657568717
998,43.5757568717
999,43.5857568717
1000,43.5957568717
1001,43.6057568717
1002,43.6157568717
1003,43.6257568717
1004,43.6357568717
1005,43.6457568717
1006,43.6557568717
1007,43.6657568717
1008,43.6757568717
1009,43.6857568717
1010,43.6957568717
1011,43.7057568717
1012,43.7157568717
1013,43.7257568717
1014,43.7357568717
1015,43.7457568717
1016,43.7557568717
1017,43.7657568717
1018,43.7757568717
1019,43.7857568717
1020,43.7957568717
1021,43.8057568717
1022,43.8157568717
1023,43.8257568717
1024,43.8357568717
1025,43.8457568717
1026,43.8557568717
1027,43.8657568717
1028,43.8757568717
1029,43.8857568717
1030,43.8957568717
1031,43.9057568717
1032,43.9157568717
1033,43.9257568717
1034,43.9357568717
1035,43.9457568717
1036,43.9557568717
1037,43.9657568717
1038,43.9757568717
1039,43.9857568717
1040,43.9957568717
1041,44.0057568717
1042,44.0157568717
1043,44.0257568717
1044,44.0357568717
1045,43.5257568717
1046,43.5357568717
1047,43.5457568717
1048,43.5557568717
1049,43.5657568717
1050,43.5757568717
1051,43.5857568717
1052,43.5957568717
1053,43.6057568717
1054,43.6157568717
1055,43.6257568717
1056,43.6357568717
1057,43.6457568717
1058,43.6557568717
1059,43.6657568717
1060,43.6757568717
1061,43.6857568717
1062,43.6957568717
1063,43.7057568717
1064,43.7157568717
1065,43.7257568717
1066,43.7357568717
1067,43.7457568717
1068,43.7557568717
1069,43.7657568717
1070,43.7757568717
1071,43.7857568717
1072,43.7957568717
1073,43.8057568717
1074,43.8157568717
1075,43.8257568717
1076,43.8357568717
1077,43.8457568717
1078,43.8557568717
1079,43.8657568717
1080,43.8757568717
1081,43.8857568717
1082,43.8957568717
1083,43.9057568717
1084,43.9157568717
1085,43.9257568717
1086,43.9357568717
1087,43.9457568717
1088,43.9557568717
1089,43.9657568717
1090,43.9757568717
1091,43.9857568717
1092,43.9957568717
1093,44.0057568717
1094,44.0157568717
1095,44.0257568717
1096,44.0357568717
1097,43.5257568717
1098,43.5357568717
1099,43.5457568717
1100,43.5557568717
1101,43.5657568717
1102,43.5757568717
1103,43.5857568717
1104,43.5957568717
1105,43.6057568717
1106,43.6157568717
1107,43.6257568717
1108,43.6357568717
1109,43.6457568717
1110,43.6557568717
1111,43.6657568717
1112,43.6757568717
1113,43.6857568717
1114,43.6957568717
1115,43.7057568717
1116,43.7157568717
1117,43.7257568717
1118,43.7357568717
1119,43.7457568717
1120,43.7557568717
1121,43.7657568717
1122,43.7757568717
1123,43.7857568717
1124,43.7957568717
1125,43.8057568717
1126,43.8157568717
1127,43.8257568717
1128,43.8357568717
1129,43.8457568717
1130,43.8557568717
1131,43.8657568717
1132,43.8757568717
1133,43.8857568717
1134,43.8957568717
1135,43.9057568717
1136,43.9157568717
1137,43.9257568717
1138,43.9357568717
1139,43.9457568717
1140,43.9557568717
1141,43.9657568717
1142,43.9757568717
1143,43.9857568717
1144,43.9957568717
1145,44.0057568717
1146,44.0157568717
1147,44.0257568717
1148,44.0357568717
1149,43.5257568717
1150,43.5357568717
1151,43.5457568717
1152,43.5557568717
1153,43.5657568717
1154,43.5757568717
1155,43.5857568717
1156,43.5957568717
1157,43.6057568717
1158,43.6157568717
1159,43.6257568717
1160,43.6357568717
1161,43.6457568717
1162,43.6557568717
1163,43.6657568717
1164,43.6757568717
1165,43.6857568717
1166,43.6957568717
1167,43.7057568717
1168,43.7157568717
1169,43.7257568717
1170,43.7357568717
1171,43.7457568717
1172,43.7557568717
1173,43.7657568717
1174,43.7757568717
1175,43.7857568717
1176,43.7957568717
1177,43.8057568717
1178,43.8157568717
1179,43.8257568717
1180,43.8357568717
1181,43.8457568717
1182,43.8557568717
1183,43.8657568717
1184,43.8757568717
1185,43.8857568717
1186,43.8957568717
1187,43.9057568717
1188,43.9157568717
1189,43.9257568717
1190,43.9357568717
1191,43.9457568717
1192,43.9557568717
1193,43.9657568717
1194,43.9757568717
1195,43.9857568717
1196,43.9957568717
1197,44.0057568717
1198,44.0157568717
1199,44.0257568717
1200,44.0357568717
1201,43.5257568717
1202,43.5357568717
1203,43.5457568717
1204,43.5557568717
1205,43.5657568717
1206,43.5757568717
1207,43.5857568717
1208,43.5957568717
1209,43.6057568717
1210,43.6157568717
1211,43.6257568717
1212,43.6357568717
1213,43.6457568717
1214,43.6557568717
1215,43.6657568717
1216,43.6757568717
1217,43.6857568717
1218,43.6957568717
1219,43.7057568717
1220,43.7157568717
1221,43.7257568717
1222,43.7357568717
1223,43.7457568717
1224,43.7557568717
1225,43.7657568717
1226,43.7757568717
1227,43.7857568717
1228,43.7957568717
1229,43.8057568717
1230,43.8157568717
1231,43.8257568717
1232,43.8357568717
1233,43.8457568717
1234,43.8557568717
1235,43.8657568717
1236,43.8757568717
1237,43.8857568717
1238,43.8957568717
1239,43.9057568717
1240,43.9157568717
1241,43.9257568717
1242,43.9357568717
1243,43.9457568717
1244,43.9557568717
1245,43.9657568717
1246,43.9757568717
1247,43.9857568717
1248,43.9957568717
1249,44.0057568717
1250,44.0157568717
1251,44.0257568717
1252,44.0357568717
1253,43.5257568717
1254,43.5357568717
1255,43.5457568717
1256,43.5557568717
1257,43.5657568717
1258,43.5757568717
1259,43.5857568717
1260,43.5957568717
1261,43.6057568717
1262,43.6157568717
1263,43.6257568717
1264,43.6357568717
1265,43.6457568717
1266,43.6557568717
1267,43.6657568717
1268,43.6757568717
1269,43.6857568717
1270,43.6957568717
1271,43.7057568717
1272,43.7157568717
1273,43.7257568717
1274,43.7357568717
1275,43.7457568717
1276,43.7557568717
1277,43.7657568717
1278,43.7757568717
1279,43.7857568717
1280,43.7957568717
1281,43.8057568717
1282,43.8157568717
1283,43.8257568717
1284,43.8357568717
1285,43.8457568717
1286,43.8557568717
1287,43.8657568717
1288,43.8757568717
1289,43.8857568717
1290,43.8957568717
1291,43.9057568717
1292,43.9157568717
1293,43.9257568717
1294,43.9357568717
1295,43.9457568717
1296,43.9557568717
1297,43.9657568717
1298,43.9757568717
1299,43.9857568717
1300,43.9957568717
1301,44.0057568717
1302,44.0157568717
1303,44.0257568717
1304,44.0357568717
1305,43.5257568717
1306,43.5357568717
1307,43.5457568717
1308,43.5557568717
1309,43.5657568717
1310,43.5757568717
1311,43.5857568717
1312,43.5957568717
1313,43.6057568717
1314,43.6157568717
1315,43.6257568717
1316,43.6357568717
1317,43.6457568717
1318,43.6557568717
1319,43.6657568717
1320,43.6757568717
1321,43.6857568717
1322,43.6957568717
1323,43.7057568717
1324,43.7157568717
1325,43.7257568717
1326,43.7357568717
1327,43.7457568717
1328,43.7557568717
1329,43.7657568717
1330,43.7757568717
1331,43.7857568717
1332,43.7957568717
1333,43.8057568717
1334,43.8157568717
1335,43.8257568717
1336,43.8357568717
1337,43.8457568717
1338,43.8557568717
1339,43.8657568717
1340,43.8757568717
1341,43.8857568717
1342,43.8957568717
1343,43.9057568717
1344,43.9157568717
1345,43.9257568717
1346,43.9357568717
1347,43.9457568717
1348,43.9557568717
1349,43.9657568717
1350,43.9757568717
1351,43.9857568717
1352,43.9957568717
1353,44.0057568717
1354,44.0157568717
1355,44.0257568717
1356,44.0357568717
1357,43.5257568717
1358,43.5357568717
1359,43.5457568717
1360,43.5557568717
1361,43.5657568717
1362,43.5757568717
1363,43.5857568717
1364,43.5957568717
1365,43.6057568717
1366,43.6157568717
1367,43.6257568717
1368,43.6357568717
1369,43.6457568717
1370,43.6557568717
1371,43.6657568717
1372,43.6757568717
1373,43.6857568717
1374,43.6957568717
1375,43.7057568717
1376,43.7157568717
1377,43.7257568717
1378,43.7357568717
1379,43.7457568717
1380,43.7557568717
1381,43.7657568717
1382,43.7757568717
1383,43.7857568717
1384,43.7957568717
1385,43.8057568717
1386,43.8157568717
1387,43.8257568717
1388,43.8357568717
1389,43.8457568717
1390,43.8557568717
1391,43.8657568717
1392,43.8757568717
1393,43.8857568717
1394,43.8957568717
1395,43.9057568717
1396,43.9157568717
1397,43.9257568717
1398,43.9357568717
1399,43.9457568717
1400,43.9557568717
1401,43.9657568717
1402,43.9757568717
1403,43.9857568717
1404,43.9957568717
1405,44.0057568717
1406,44.0157568717
1407,44.0257568717
1408,44.0357568717
1409,43.5257568717
1410,43.5357568717
1411,43.5457568717
1412,43.5557568717
1413,43.5657568717
1414,43.5757568717
1415,43.5857568717
1416,43.5957568717
1417,43.6057568717
1418,43.6157568717
1419,43.6257568717
1420,43.6357568717
1421,43.6457568717
1422,43.6557568717
1423,43.6657568717
1424,43.6757568717
1425,43.6857568717
1426,43.6957568717
1427,43.7057568717
1428,43.7157568717
1429,43.7257568717
1430,43.7357568717
1431,43.7457568717
1432,43.7557568717
1433,43.7657568717
1434,43.7757568717
1435,43.7857568717
1436,43.7957568717
1437,43.8057568717
1438,43.8157568717
1439,43.8257568717
1440,43.8357568717
1441,43.8457568717
1442,43.8557568717
1443,43.8657568717
1444,43.8757568717
1445,43.8857568717
1446,43.8957568717
1447,43.9057568717
1448,43.9157568717
1449,43.9257568717
1450,43.9357568717
1451,43.9457568717
1452,43.9557568717
1453,43.9657568717
1454,43.9757568717
1455,43.9857568717
1456,43.9957568717
1457,44.0057568717
1458,44.0157568717
1459,44.0257568717
1460,44.0357568717
1461,43.5257568717
1462,43.5357568717
1463,43.5457568717
1464,43.5557568717
1465,43.5657568717
1466,43.5757568717
1467,43.5857568717
1468,43.5957568717
1469,43.6057568717
1470,43.6157568717
1471,43.6257568717
1472,43.6357568717
1473,43.6457568717
1474,43.6557568717
1475,43.6657568717
1476,43.6757568717
1477,43.6857568717
1478,43.6957568717
1479,43.7057568717
1480,43.7157568717
1481,43.7257568717
1482,43.7357568717
1483,43.7457568717
1484,43.7557568717
1485,43.7657568717
1486,43.7757568717
1487,43.7857568717
1488,43.7957568717
1489,43.8057568717
1490,43.8157568717
1491,43.8257568717
1492,43.8357568717
1493,43.8457568717
1494,43.8557568717
1495,43.8657568717
1496,43.8757568717
1497,43.8857568717
1498,43.8957568717
